Distance	Noise		
5	88.8		
5	85.4		
5	84.8		
5	85.2		
5	85.6		
5	86.0		
5	83.6		
5	81.9		
5	86.1		
5	84.2		
5	88.3		
5	87.0		
5	88.5		
5	86.0		
5	87.5		
5	86.9		
5	85.3		
5	84.1		
5	83.9		
5	88.4		
5	86.0		
5	86.2		
10	86.7		
10	87.0		
10	82.7		
10	86.6		
10	85.6		
10	84.0		
10	82.3		
10	83.1		
10	84.8		
10	82.8		
10	86.3		
10	86.6		
10	84.2		
10	83.2		
10	83.4		
10	83.6		
10	85.1		
10	83.1		
10	85.1		
10	83.5		
10	85.7		
10	84.1		
15	80.0		
15	80.0		
15	83.1		
15	83.6		
15	82.3		
15	83.6		
15	81.1		
15	80.5		
15	82.9		
15	84.6		
15	80.9		
15	83.5		
15	85.3		
15	82.0		
15	83.7		
15	82.6		
15	83.2		
15	83.3		
20	83.1		
20	85.8		
20	82.8		
20	83.9		
20	80.7		
20	82.9		
20	83.1		
20	81.4		
20	82.8		
20	82.3		
20	79.3		
20	84.3		
20	83.2		
20	79.0		
20	80.3		
25	80.2		
25	83.2		
25	81.2		
25	82.9		
25	79.0		
25	80.2		
25	80.1		
25	82.0		
25	79.1		
25	78.9		
25	78.3		
25	78.6		
25	80.4		
30	79.6		
30	74.4		
30	72.9		
30	76.6		
30	77.1		
30	76.0		
30	74.5		
30	73.1		
30	79.3		
30	79.3		
30	74.5		
30	76.1		
40	78.2		
40	78.2		
40	71.4		
40	70.1		
40	72.3		
40	76.5		
40	77.6		
40	74.1		
50	68.0		
50	72.5		
50	63.4		
50	66.8		
50	69.4		
50	64.4		
50	67.0		
50	69.9		
