iter,width,time
50,50,0.0325
50,200,0.51964
50,400,2.08345
50,600,4.68891
50,800,8.35079
50,1000,13.12754
50,1200,18.72711
200,50,0.09889
200,200,1.59926
200,400,6.32096
200,600,14.16808
200,800,25.13728
200,1000,39.09821
200,1200,56.24825
400,50,0.19873
400,200,3.03911
400,400,12.07946
400,600,27.04739
400,800,49.26928
400,1000,74.68974
400,1200,107.12655
600,50,0.28883
600,200,4.53776
600,400,17.70403
600,600,40.05794
600,800,70.77222
600,1000,110.36971
600,1200,158.30655
800,50,0.37444
800,200,5.84587
800,400,23.42207
800,600,53.15077
800,800,93.90385
800,1000,145.8633
800,1200,213.43777
1000,50,0.47357
1000,200,7.5212
1000,400,29.2527
1000,600,65.0468
1000,800,116.20199
1000,1000,181.98376
1000,1200,260.11497
1200,50,0.56384
1200,200,8.9609
1200,400,34.65029
1200,600,79.04085
1200,800,139.42766
1200,1000,216.16956
1200,1200,310.05135
