iter,width,time
50,50,0.01848
50,200,0.30113
50,400,1.18603
50,600,2.66286
50,800,4.745
50,1000,7.46166
50,1200,10.68222
200,50,0.05779
200,200,0.91591
200,400,3.66344
200,600,8.15129
200,800,14.50651
200,1000,22.60275
200,1200,32.68412
400,50,0.11505
400,200,1.72644
400,400,6.89622
400,600,15.53525
400,800,27.5925
400,1000,42.93177
400,1200,61.99994
600,50,0.16502
600,200,2.56205
600,400,10.23077
600,600,23.00073
600,800,40.85617
600,1000,63.82143
600,1200,91.66197
800,50,0.21604
800,200,3.38837
800,400,13.44119
800,600,30.19367
800,800,53.99984
800,1000,84.219
800,1200,121.39065
1000,50,0.26816
1000,200,4.22918
1000,400,16.68988
1000,600,37.54133
1000,800,67.15384
1000,1000,104.21508
1000,1200,150.19395
1200,50,0.34504
1200,200,5.04491
1200,400,20.02146
1200,600,45.24986
1200,800,80.4279
1200,1000,125.25664
1200,1200,179.19719
