iter,width,time
50,50,0.01964
50,200,0.31088
50,400,1.24722
50,600,2.71071
50,800,4.75947
50,1000,7.44412
50,1200,10.67436
200,50,0.06039
200,200,0.94395
200,400,3.73411
200,600,8.1991
200,800,14.62135
200,1000,22.74336
200,1200,37.66158
400,50,0.11254
400,200,1.77085
400,400,7.0602
400,600,15.53242
400,800,27.89016
400,1000,48.71635
400,1200,70.75944
600,50,0.16625
600,200,2.60408
600,400,11.23162
600,600,22.94368
600,800,42.5335
600,1000,64.31854
600,1200,98.00977
800,50,0.21819
800,200,3.67745
800,400,13.5378
800,600,30.27574
800,800,53.84188
800,1000,89.34145
800,1200,131.35308
1000,50,0.28204
1000,200,4.41762
1000,400,16.7691
1000,600,38.327
1000,800,67.0808
1000,1000,109.59754
1000,1200,150.49293
1200,50,0.32479
1200,200,5.11013
1200,400,20.00427
1200,600,45.15577
1200,800,79.94417
1200,1000,130.03795
1200,1200,180.09032
