iter,width,time
50,50,0.02081
50,200,0.38495
50,400,1.32784
50,600,2.94257
50,800,5.19837
50,1000,8.13086
50,1200,11.74828
200,50,0.06404
200,200,1.07619
200,400,4.02143
200,600,9.06626
200,800,16.00024
200,1000,29.73211
200,1200,36.00166
400,50,0.12375
400,200,2.02868
400,400,7.6232
400,600,17.17082
400,800,30.49575
400,1000,52.69623
400,1200,68.66921
600,50,0.17873
600,200,2.86543
600,400,11.2267
600,600,25.35328
600,800,44.83247
600,1000,79.04148
600,1200,101.27951
800,50,0.23915
800,200,3.73648
800,400,14.92091
800,600,33.46767
800,800,59.64934
800,1000,110.16818
800,1200,133.26169
1000,50,0.29962
1000,200,4.87824
1000,400,18.63628
1000,600,41.59115
1000,800,79.10883
1000,1000,129.21861
1000,1200,165.58878
1200,50,0.37319
1200,200,5.74802
1200,400,22.08516
1200,600,56.01615
1200,800,95.82643
1200,1000,148.63193
1200,1200,199.80641
